source,record_id,title,year,venue,doi,cited_by_count,query_seed,relevance_note
Crossref,https://doi.org/10.1126/scirobotics.abd8803,"Modeling, learning, perception, and control methods for deformable object manipulation",2021,Science Robotics,10.1126/scirobotics.abd8803,267,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.1038/nn.4520,Dopamine reward prediction errors reflect hidden-state inference across time,2017,Nature Neuroscience,10.1038/nn.4520,210,tactile inference manipulation hidden state,hidden
Crossref,https://doi.org/10.1109/icra.2015.7138994,Learning contact-rich manipulation skills with guided policy search,2015,2015 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2015.7138994,183,contact rich manipulation physical reasoning,contact;manipulation
Crossref,https://doi.org/10.1109/tro.2010.2044949,Global Manipulation Planning in Robot Joint Space With Task Constraints,2010,IEEE Transactions on Robotics,10.1109/tro.2010.2044949,181,task motion planning manipulation constraints,constraint;manipulation
Crossref,https://doi.org/10.1177/0278364908097884,"A Hybrid Approach to Intricate Motion, Manipulation and Task Planning",2009,The International Journal of Robotics Research,10.1177/0278364908097884,169,task motion planning manipulation constraints,manipulation
Crossref,https://doi.org/10.1007/s10514-017-9678-1,Robot adaptation to human physical fatigue in human–robot co-manipulation,2018,Autonomous Robots,10.1007/s10514-017-9678-1,161,robot manipulation physical reasoning support relations,manipulation;physical
Crossref,https://doi.org/10.1126/scirobotics.abf5116,"Robotic surfaces with reversible, spatiotemporal control for shape morphing and object manipulation",2021,Science Robotics,10.1126/scirobotics.abf5116,147,object relation reasoning robot manipulation,manipulation
Crossref,https://doi.org/10.1080/01691864.2019.1632222,Recent progress in tactile sensing and sensors for robotic manipulation: can we turn tactile sensing into vision?,2019,Advanced Robotics,10.1080/01691864.2019.1632222,143,tactile inference manipulation hidden state,tactile;manipulation
Crossref,https://doi.org/10.1016/j.rcim.2022.102517,A review on reinforcement learning for contact-rich robotic manipulation tasks,2023,Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2022.102517,137,contact rich manipulation physical reasoning,contact;manipulation
Crossref,https://doi.org/10.7554/elife.51140,Hippocampal remapping as hidden state inference,2020,eLife,10.7554/elife.51140,136,tactile inference manipulation hidden state,hidden
